X [s],Trigno sensor (EMG) 1: EMG 1 [Volts],Trigno sensor (EMG) 2: EMG 2 [Volts]
2.200000e-002,0.000000e+000,0.000000e+000
2.250000e-002,0.000000e+000,0.000000e+000
2.300000e-002,0.000000e+000,0.000000e+000
2.350000e-002,0.000000e+000,0.000000e+000
2.400000e-002,0.000000e+000,0.000000e+000
2.450000e-002,0.000000e+000,0.000000e+000
2.500000e-002,0.000000e+000,0.000000e+000
2.550000e-002,0.000000e+000,0.000000e+000
2.600000e-002,0.000000e+000,0.000000e+000
2.650000e-002,1.518578e-008,3.695206e-007
2.700000e-002,4.162463e-007,1.012866e-005
2.750000e-002,1.099752e-006,1.500345e-005
2.800000e-002,1.591469e-006,1.118931e-005
2.850000e-002,9.953959e-009,1.183773e-005
2.900000e-002,-2.237864e-006,1.104493e-005
2.950000e-002,-3.147988e-006,1.105277e-005
3.000000e-002,-4.059798e-006,9.333005e-006
3.050000e-002,-3.763753e-006,1.050289e-005
3.100000e-002,-2.918011e-006,8.401530e-006
3.150000e-002,-3.411923e-006,4.733727e-006
3.200000e-002,-4.864017e-006,3.759054e-006
3.250000e-002,-5.442058e-006,4.968880e-006
3.300000e-002,-5.613519e-006,7.718078e-006
3.350000e-002,-6.924136e-006,8.286653e-006
3.400000e-002,-8.767328e-006,9.232200e-006
3.450000e-002,-8.909275e-006,9.515592e-006
3.500000e-002,-7.326433e-006,1.015491e-005
3.550000e-002,-4.977995e-006,9.458113e-006
3.600000e-002,-3.570686e-006,1.110769e-005
3.650000e-002,-5.233361e-006,1.246205e-005
3.700000e-002,-8.602305e-006,1.352191e-005
3.750000e-002,-1.235787e-005,1.162249e-005
3.800000e-002,-1.419950e-005,9.141278e-006
3.850000e-002,-1.382915e-005,8.191319e-006
3.900000e-002,-1.265962e-005,1.087932e-005
3.950000e-002,-1.185271e-005,1.595271e-005
4.000000e-002,-1.101654e-005,1.703461e-005
4.050000e-002,-9.257056e-006,1.419073e-005
4.100000e-002,-8.246877e-006,1.050644e-005
